915 944
909 409 709
651 845 -796
102 560 -233
221 233 -433
697 636 536
156 849 -845
262 850 -205
84 718 578
268 84 -507
487 825 -167
765 287 488
320 616 865
643 336 -500
331 343 914
673 871 701
570 163 905
610 340 -675
894 891 609
3 763 711
319 46 -33
387 304 939
235 673 -771
823 421 -952
339 877 912
752 869 247
457 28 -905
774 555 28
849 683 236
278 257 -569
137 588 282
890 545 591
412 98 -926
337 471 -754
59 706 -759
864 690 351
894 221 846
113 396 290
464 94 494
590 412 -705
532 561 -211
371 897 8
690 523 -726
76 47 -698
137 638 -113
198 496 883
191 627 589
755 635 582
720 732 245
463 488 -543
284 174 389
880 589 774
585 712 410
610 456 896
779 256 772
615 623 588
247 133 407
872 202 82
646 160 960
613 456 -295
639 706 643
640 327 -492
567 583 726
413 470 629
913 513 477
218 61 33
345 851 676
820 795 -226
739 677 -675
262 370 204
710 372 652
789 513 -678
584 123 485
322 458 965
551 82 115
673 157 641
598 795 391
299 467 375
11 123 -275
742 467 -46
370 375 185
110 377 -584
56 748 189
461 576 -909
231 651 200
501 532 -649
288 741 264
777 160 507
896 234 836
879 284 395
487 495 41
645 621 123
661 607 78
563 535 -475
72 784 65
801 711 -601
776 726 -492
847 733 79
125 611 -49
361 158 727
196 295 187
308 670 377
725 195 756
705 36 388
37 86 -644
266 321 -649
912 724 328
50 706 690
340 197 738
674 366 -273
255 890 720
393 366 934
894 681 -277
825 723 -345
153 311 -546
653 495 -492
563 48 578
486 440 129
732 467 265
230 281 -985
836 711 249
732 670 -165
100 491 639
852 59 -47
769 176 -388
725 734 844
711 660 163
382 564 373
600 592 328
506 767 891
480 207 311
349 704 -442
441 851 -232
89 12 761
637 420 -412
578 606 -950
72 385 -447
890 243 85
381 365 345
428 191 397
407 268 -58
236 280 -329
327 286 -128
833 336 -598
874 738 269
83 586 -165
394 595 59
902 561 988
642 413 179
852 490 -801
164 385 903
190 299 370
116 810 428
240 235 660
317 506 767
205 125 299
258 679 -8
779 841 584
277 275 240
651 359 423
826 437 -571
785 604 -818
626 195 -637
219 178 -489
915 198 918
695 92 -240
650 813 -76
255 378 -686
413 663 -482
878 791 373
249 783 470
631 812 372
903 471 -688
750 316 874
357 740 -244
557 508 -274
302 583 871
696 883 -413
786 771 401
664 560 344
736 576 110
527 268 808
587 458 13
432 494 -517
860 640 174
818 365 -328
79 609 -628
21 528 514
264 684 -624
269 560 -489
565 371 -538
722 787 621
288 364 242
446 632 891
139 543 -782
134 830 208
369 40 344
153 826 -610
59 815 -328
25 492 -454
63 144 276
200 109 -280
703 901 12
558 800 -880
156 637 -145
692 349 381
464 863 -529
202 82 127
568 29 -291
837 600 -938
53 326 271
101 157 591
196 61 597
649 528 -197
239 874 350
99 590 313
840 116 -620
807 354 829
718 88 104
648 390 170
581 552 392
798 187 -571
736 797 870
57 374 -291
439 74 -15
700 491 239
846 902 866
587 584 -632
708 388 -846
194 17 195
529 681 211
626 708 425
855 909 -808
758 621 -155
670 886 220
725 756 -581
740 76 -6
808 285 934
44 869 287
91 120 -705
155 253 15
27 214 842
672 888 369
538 16 445
905 199 997
635 787 -958
366 821 -764
253 771 805
45 677 19
379 736 560
468 582 366
477 588 -604
886 889 -270
694 554 445
169 485 -273
118 890 -65
543 457 924
843 97 674
782 56 488
816 698 -2
697 653 -522
761 612 -145
290 515 -884
181 561 -90
524 521 635
495 230 -449
137 314 -4
560 867 -783
52 618 559
440 786 136
896 757 -517
358 552 -907
714 381 -791
140 198 -860
463 454 -912
759 393 -122
764 438 56
265 181 -506
504 751 1000
58 642 483
195 421 984
715 248 -958
579 882 274
276 368 -428
162 264 -805
6 391 -688
564 708 -548
150 887 -750
339 605 -764
774 509 -528
687 858 179
678 565 -729
226 317 -339
895 849 -570
621 216 -139
146 111 -940
600 540 269
548 446 102
22 749 -69
282 81 381
616 424 -377
412 23 -227
272 378 -275
422 749 972
628 244 222
536 259 -963
559 876 684
607 586 -756
596 428 -18
331 112 -446
317 26 -230
419 591 -264
477 60 110
11 489 -260
590 47 -812
586 677 -652
333 226 -415
208 826 -720
468 337 183
521 738 490
56 139 -895
860 822 802
108 532 213
447 899 -574
439 896 -702
433 564 -579
476 511 339
660 499 281
530 251 834
621 222 317
661 459 -471
346 284 -663
109 268 533
745 583 8
521 235 -126
552 152 381
629 862 73
51 413 -256
774 651 -474
19 887 -47
845 147 766
689 456 -35
893 590 5
579 459 -923
908 389 -519
165 258 332
678 823 -349
497 902 -879
730 358 165
148 200 -197
364 675 800
413 38 676
826 378 -8
462 179 -630
385 763 -192
431 619 224
411 43 -955
421 116 -912
636 887 -552
383 784 -892
638 844 -621
588 659 143
774 693 645
754 120 647
670 529 -357
439 55 693
870 9 -559
53 389 -610
144 434 -385
147 870 788
131 622 -916
439 23 -7
89 582 -86
225 73 548
35 445 -278
397 558 182
118 42 255
909 825 558
128 112 -363
532 769 180
506 599 -658
161 339 -257
278 814 -238
31 488 -975
510 788 264
440 272 -12
648 672 -266
405 102 746
389 60 -821
853 704 181
64 142 355
410 727 256
439 574 -628
14 907 -103
133 871 71
897 838 97
26 230 -80
811 19 -197
644 648 315
533 276 -681
471 791 5
269 903 -130
814 880 624
399 256 508
632 477 -280
528 616 -700
154 461 -653
633 636 -786
59 277 574
846 283 652
685 898 589
807 481 -173
623 703 230
571 678 110
734 244 769
140 342 818
430 156 239
200 895 -594
796 672 462
494 172 373
277 396 -937
858 847 828
598 486 838
818 850 978
588 499 -865
829 177 -568
131 599 457
866 540 89
76 528 230
620 232 582
660 89 -402
903 297 986
229 579 -941
832 562 -914
188 391 128
278 388 721
435 784 -856
357 112 582
915 316 286
233 572 -172
60 484 406
314 621 61
606 729 -236
450 235 -280
617 702 -721
289 67 -337
815 419 524
174 618 251
648 755 689
325 50 -498
327 444 -712
806 822 443
299 663 153
191 315 160
492 209 -221
750 913 373
722 201 844
899 709 204
572 503 -852
330 13 94
143 246 -407
350 84 -347
137 861 -134
857 34 334
62 671 432
701 346 -921
817 599 -447
458 352 -52
432 577 -410
451 38 652
804 418 -956
717 722 -508
110 345 876
454 36 -103
565 84 -224
775 695 414
147 300 -449
324 732 -965
61 117 -488
365 554 -532
149 37 209
582 846 327
304 212 -32
348 378 -590
149 876 -855
797 149 40
403 136 990
486 278 422
136 125 652
379 203 -138
652 576 392
749 421 851
34 212 374
627 97 418
70 897 216
535 658 846
909 285 -794
126 324 345
889 671 993
306 80 101
360 783 -109
366 205 533
542 162 -131
456 727 -689
200 226 337
133 1 482
104 479 -832
377 705 -3
314 219 782
602 423 -17
837 15 -527
690 620 232
307 85 -127
721 578 509
800 493 -335
645 869 537
459 273 -648
783 897 270
902 620 -591
320 154 248
33 681 -625
701 339 -630
227 67 -500
326 725 339
760 286 31
314 489 -969
694 489 -137
473 712 774
648 442 -744
13 883 -175
636 421 663
631 785 -394
760 755 -352
27 291 647
404 792 -632
16 531 672
285 46 -126
52 908 773
118 285 43
902 277 229
477 826 -45
861 667 972
738 435 -278
781 186 489
78 844 -321
402 203 625
791 298 981
630 433 725
4 126 -547
688 905 -5
416 646 344
510 280 -965
553 737 -353
641 777 641
677 599 -920
204 203 696
890 790 -873
872 621 -239
418 743 -726
301 55 -41
624 237 -685
398 48 -209
811 162 207
858 426 737
789 247 814
559 808 499
428 375 -207
229 631 -554
83 55 757
692 84 -808
565 583 579
869 268 251
667 683 -927
126 298 99
278 343 -265
12 32 -71
546 369 -722
846 273 -203
120 1 589
469 99 992
702 12 -423
371 349 -832
100 261 -782
322 793 -168
834 366 -80
818 81 542
6 107 155
797 283 298
437 481 -133
69 354 705
228 369 232
618 684 250
133 894 -31
878 102 -384
177 307 713
825 769 228
873 636 -498
237 380 -719
604 891 310
159 210 466
854 258 32
83 639 -719
635 321 -466
112 311 -751
219 549 355
292 357 -812
296 463 -667
3 444 798
785 726 137
513 265 843
787 358 -793
220 192 740
175 553 556
535 189 475
71 477 180
346 219 -948
900 27 816
239 346 -611
204 549 656
794 721 -599
212 620 -495
634 660 508
588 672 -736
867 658 981
579 618 735
692 20 -708
128 913 -965
