19
989 1603
613 20 816
509 288 541
706 814 784
973 740 7
844 836 678
843 199 245
739 947 62
74 359 669
370 262 958
691 718 506
949 603 409
268 891 632
177 473 813
659 18 553
884 411 524
384 160 788
98 191 474
421 40 945
619 934 426
394 325 57
247 241 473
559 253 519
718 228 393
457 814 671
400 36 42
913 906 738
31 339 68
107 482 98
822 150 779
851 679 719
464 126 725
417 219 57
31 195 814
531 737 351
245 907 78
589 330 509
401 796 958
546 881 625
338 557 340
812 218 149
782 636 684
878 350 214
960 336 222
602 519 544
134 932 211
195 714 326
971 816 553
607 140 768
710 307 982
207 792 852
922 483 594
371 177 454
106 903 67
306 907 722
740 725 207
123 378 94
84 816 812
104 749 413
524 135 291
325 448 326
729 490 267
325 885 777
558 904 277
546 708 815
886 862 7
109 589 276
371 242 392
223 115 372
731 257 719
503 868 108
918 663 862
361 44 30
739 840 588
18 893 281
163 821 689
982 910 943
641 573 95
784 404 83
127 158 837
544 404 865
329 565 299
99 512 97
409 682 443
191 434 937
353 200 196
643 103 990
321 6 757
597 889 235
863 842 692
769 938 715
871 977 338
438 356 755
968 606 946
551 268 925
904 227 566
533 267 548
685 814 292
124 643 838
13 643 790
155 205 984
654 59 836
918 292 711
923 508 137
28 967 155
131 446 81
631 86 436
282 746 750
984 231 378
845 434 291
731 629 857
215 918 165
884 55 65
98 446 544
205 872 976
375 391 916
816 351 700
514 392 500
695 612 410
820 492 112
47 317 786
879 421 688
669 810 834
977 304 80
789 235 213
234 601 572
666 715 549
272 119 224
489 98 397
821 51 423
688 88 166
969 222 304
430 450 317
592 977 285
732 311 267
429 896 374
635 401 666
112 208 834
267 975 269
932 322 517
343 76 514
753 67 839
160 125 545
462 563 774
972 282 972
391 253 127
657 865 174
566 351 414
233 504 254
603 15 494
890 405 642
591 19 96
657 3 415
217 815 427
347 202 981
754 566 169
545 489 576
263 686 61
616 324 13
305 251 123
390 341 559
118 395 712
672 922 188
531 598 466
754 531 201
412 575 294
860 502 274
486 106 301
733 328 630
155 495 436
359 122 2
699 842 386
416 373 943
580 98 397
956 162 610
860 619 160
917 415 554
346 917 740
675 733 806
105 247 999
760 490 655
778 774 736
299 57 554
746 897 90
623 109 504
66 129 138
439 84 562
667 245 235
957 276 280
555 304 815
78 814 756
43 724 460
183 988 618
206 448 390
402 124 461
636 913 653
918 928 702
360 169 822
97 45 78
43 436 742
496 329 270
937 279 64
987 370 961
316 823 748
675 419 355
156 724 645
876 797 704
242 585 746
212 659 229
688 778 12
253 904 129
370 573 327
520 409 934
677 599 131
699 519 962
873 406 624
448 815 275
565 122 116
970 249 43
650 567 650
693 422 728
405 955 943
162 214 110
618 764 558
703 341 481
862 143 372
605 289 347
868 426 902
467 608 151
203 703 573
300 605 738
740 327 670
183 392 353
720 936 211
128 504 347
346 601 182
367 603 277
705 219 161
885 476 745
63 674 828
462 697 667
361 946 120
244 864 588
562 393 924
548 375 951
118 810 366
255 136 628
194 60 615
157 958 23
867 288 348
819 231 447
128 208 415
899 967 234
150 131 446
754 811 402
849 415 520
204 76 968
746 666 21
506 695 115
277 472 812
61 536 334
134 700 583
670 272 567
942 439 253
637 432 16
544 339 784
632 309 205
573 724 217
820 247 378
232 81 191
544 145 846
932 820 775
880 798 524
938 801 374
703 537 942
691 139 35
66 370 218
720 44 60
256 904 760
933 205 15
522 291 767
632 317 532
773 430 340
54 683 512
221 883 537
733 420 211
506 712 572
869 425 811
836 76 307
687 849 925
428 934 682
891 324 390
253 411 963
968 355 894
315 625 852
894 318 373
254 359 43
525 645 528
987 119 270
322 128 75
115 276 960
711 427 869
720 330 843
214 52 454
528 337 314
797 231 742
206 903 540
304 744 986
311 645 175
35 472 671
635 88 621
403 646 627
461 294 278
847 85 505
965 925 27
414 618 375
281 86 232
141 102 512
328 304 98
190 646 266
382 735 466
12 712 560
183 398 83
332 505 524
521 160 429
536 381 431
913 254 861
86 229 766
901 683 398
800 512 886
424 340 60
338 231 992
507 396 720
949 487 788
917 233 975
633 619 739
669 330 168
789 47 573
254 78 502
782 465 402
154 49 997
248 648 710
419 233 719
536 954 177
675 108 643
227 274 614
27 41 193
660 446 99
442 628 99
669 799 110
548 40 852
945 880 454
248 195 993
378 888 6
609 839 901
741 388 910
95 153 385
452 927 247
705 223 408
929 55 141
377 148 786
729 201 379
247 211 628
323 656 256
251 162 80
734 752 204
608 45 512
1 143 737
846 381 514
304 390 700
527 487 56
367 422 572
562 744 47
682 267 35
743 415 26
268 349 608
970 935 808
440 604 756
890 685 151
745 481 872
65 230 674
726 874 245
410 35 482
222 107 226
346 119 335
256 470 353
785 319 200
476 387 717
497 279 197
654 680 353
431 838 742
45 515 283
279 596 338
266 49 64
961 598 503
606 986 736
150 927 897
216 477 838
632 612 352
215 358 919
454 675 947
849 315 838
50 137 757
746 759 538
729 576 588
883 510 879
877 662 883
180 539 5
108 133 438
268 28 35
730 710 844
94 400 833
513 934 942
735 438 828
221 650 330
50 76 405
156 124 422
790 713 2
303 468 909
420 240 904
744 356 394
86 3 221
461 399 304
975 271 543
33 232 139
61 550 136
977 964 297
579 27 698
558 158 922
703 529 492
646 977 712
22 201 517
848 306 359
384 685 178
775 252 293
155 882 681
30 75 999
291 861 459
132 54 868
893 14 828
890 271 226
95 972 447
869 854 374
569 561 678
926 880 201
696 665 213
226 34 432
241 125 812
247 812 32
397 900 949
242 658 24
67 486 363
470 729 556
163 967 337
340 144 58
892 800 302
860 962 583
470 539 91
407 275 669
11 808 282
705 336 674
242 31 774
722 669 149
694 130 669
204 376 679
540 60 444
65 180 625
217 919 117
38 283 706
329 438 622
323 86 627
115 948 2
323 550 246
555 640 267
595 620 409
15 988 718
892 518 460
202 820 587
449 741 642
936 271 53
2 814 696
53 423 449
803 275 610
565 141 56
726 99 435
973 44 740
659 360 795
446 222 420
683 548 609
291 231 801
779 441 714
541 81 113
22 767 281
256 330 776
601 976 878
391 966 486
492 859 137
218 195 616
2 534 84
62 672 790
111 3 639
828 624 190
100 301 520
849 272 831
824 194 109
209 56 499
442 381 338
83 36 383
864 528 417
792 328 494
123 207 32
538 986 374
851 929 510
900 102 627
155 477 675
468 721 257
269 855 683
821 300 14
685 424 257
744 389 862
668 443 526
659 497 292
673 40 768
513 456 861
382 628 616
266 335 979
625 973 163
418 634 705
168 237 338
967 830 973
574 807 756
