1000 2881
498 633 699
32 786 438
595 762 78
928 342 81
745 144 605
758 830 261
352 463 762
92 39 320
884 195 37
822 347 340
688 659 156
272 839 588
132 746 340
307 243 209
449 125 176
373 515 489
791 759 655
268 442 451
122 532 694
405 530 864
543 514 666
63 880 413
67 579 165
340 111 917
651 155 5
606 63 56
142 612 29
611 543 907
956 532 611
88 504 53
422 826 42
891 581 116
857 487 871
591 344 981
909 70 541
665 636 557
791 487 808
469 768 478
391 100 44
942 114 932
272 334 837
781 229 670
943 759 729
779 931 849
93 545 841
121 697 887
797 310 61
458 27 80
384 64 852
704 892 177
864 182 36
45 591 107
285 110 378
406 685 880
493 232 63
285 648 739
719 253 413
573 895 407
448 176 323
530 828 970
959 659 572
547 542 519
933 329 716
31 967 409
571 18 933
224 208 961
802 187 751
895 241 387
221 590 133
234 26 705
302 188 75
238 115 543
764 367 731
580 757 743
384 290 82
623 700 849
672 550 609
229 220 928
543 596 1
404 358 583
659 362 215
341 50 726
163 636 181
688 40 856
587 558 610
334 303 495
1000 840 735
371 765 470
438 912 61
398 305 738
278 946 657
99 526 458
173 190 304
42 476 215
792 192 426
691 298 262
589 772 96
921 398 541
157 916 549
915 903 673
618 910 578
763 186 64
365 776 366
385 947 522
684 425 736
692 257 478
240 636 900
935 652 500
634 173 121
71 7 467
965 945 371
735 2 14
587 140 969
745 494 456
993 107 948
294 567 185
356 565 355
573 585 506
884 151 740
809 644 243
167 54 214
32 732 921
311 211 425
685 891 392
128 118 273
236 811 693
960 709 513
716 414 142
42 996 840
106 201 153
463 269 132
468 16 1
891 200 489
996 577 986
778 996 749
999 317 277
276 89 595
818 992 405
735 605 874
611 243 559
11 769 676
880 144 678
214 994 232
419 414 517
399 184 443
983 593 430
818 102 788
776 669 829
711 269 239
603 801 290
462 170 703
921 193 910
559 823 150
73 578 961
110 152 84
896 628 160
100 780 439
574 672 180
213 568 874
504 513 770
733 914 432
131 265 438
327 224 372
75 805 169
732 266 779
806 296 293
299 964 670
958 858 254
138 852 918
725 584 251
616 429 518
476 147 812
130 569 248
723 243 539
233 782 381
497 685 862
158 249 179
117 867 324
664 943 720
370 163 326
924 316 71
905 108 755
484 872 96
171 208 129
714 490 183
899 822 565
821 42 109
400 207 515
931 613 66
143 469 798
121 284 819
541 357 333
562 232 462
313 945 529
124 803 256
715 456 809
184 441 990
606 241 137
340 272 424
493 637 638
102 331 93
762 900 804
295 560 464
439 577 68
266 579 617
65 739 396
663 724 506
827 80 904
846 552 430
45 548 889
493 322 813
320 767 158
183 424 891
748 625 890
264 483 553
459 629 84
536 819 956
576 853 288
765 968 277
608 429 174
379 640 649
50 995 986
895 654 135
548 140 291
343 189 822
718 131 272
163 750 207
935 219 570
689 344 313
765 966 604
409 58 855
195 224 854
85 862 876
639 949 349
838 244 692
691 255 392
312 360 747
168 719 712
318 442 604
104 969 207
174 539 125
490 254 961
821 824 405
176 803 458
558 45 753
854 152 873
565 641 638
286 555 797
470 594 446
408 90 632
595 500 415
446 194 38
615 213 246
537 780 88
966 235 487
214 126 271
493 356 137
640 596 721
618 932 630
479 283 204
374 83 39
484 481 505
108 549 291
623 755 698
812 365 227
769 995 454
926 925 275
533 738 441
262 487 552
952 161 341
598 433 22
3 82 184
969 211 800
743 12 317
801 181 513
747 449 580
374 336 673
143 44 29
745 383 167
738 361 476
550 3 624
2 689 851
223 40 871
389 668 835
811 470 247
743 290 651
665 919 578
748 978 635
923 709 322
28 550 839
62 511 831
910 705 589
863 28 974
145 40 838
531 920 403
950 220 229
216 504 80
955 132 591
813 184 2
643 828 731
47 249 158
924 537 221
241 75 965
274 766 592
818 125 64
381 349 327
618 377 725
274 815 16
114 193 688
872 117 744
183 764 297
397 692 992
931 933 736
268 452 913
516 873 392
412 283 436
623 832 776
639 826 584
272 253 63
449 744 496
839 812 967
138 597 781
496 8 105
925 16 458
452 259 276
461 212 154
126 189 287
275 414 68
291 293 293
70 351 374
810 551 601
574 175 907
234 617 571
32 305 626
359 893 876
756 862 639
55 804 732
870 14 778
439 89 198
354 706 359
997 940 492
546 486 905
503 618 515
74 17 762
196 60 488
437 611 229
918 172 888
383 3 257
495 475 992
392 971 369
769 842 963
956 486 152
289 325 484
153 722 135
426 119 275
946 261 336
400 958 804
783 969 159
792 71 982
181 270 985
922 604 518
429 547 182
822 781 906
30 17 620
162 884 213
675 887 647
144 692 292
673 313 58
997 936 796
321 756 270
378 946 724
466 591 69
115 554 937
59 265 754
484 107 421
578 989 416
56 473 529
95 759 893
952 877 301
709 405 231
781 764 310
404 405 146
294 535 764
839 7 652
151 787 689
242 50 563
375 716 347
644 604 309
643 787 558
296 651 244
141 680 778
627 357 912
240 943 668
670 644 589
365 733 327
200 370 252
111 686 457
91 967 860
372 421 575
664 314 185
7 184 810
376 631 74
604 86 836
492 954 732
231 619 357
965 894 994
421 7 341
284 728 290
347 148 234
993 283 290
343 402 967
581 371 265
309 845 488
312 539 167
317 654 921
583 826 179
389 457 502
580 362 331
324 974 817
827 758 986
2 661 826
794 829 710
373 471 150
480 562 851
510 792 198
985 885 126
755 452 806
539 939 856
985 429 809
362 673 749
849 364 321
79 869 51
868 890 48
487 232 576
913 162 115
567 901 677
596 443 487
272 601 780
969 786 922
938 693 202
854 435 14
245 602 190
718 658 736
189 457 3
804 632 620
447 976 629
741 433 621
960 988 840
836 108 606
192 47 998
318 21 821
389 163 782
162 457 376
538 699 680
944 921 355
929 953 814
769 207 614
967 269 207
882 879 391
224 29 570
33 109 324
611 403 946
593 905 581
250 313 334
941 888 516
361 892 628
694 924 586
898 600 592
449 83 932
120 467 755
16 572 933
911 587 240
773 527 35
600 834 220
136 857 125
325 199 812
712 379 251
529 314 795
956 436 734
5 957 135
752 430 368
437 857 535
249 665 248
773 869 777
288 884 939
668 4 416
59 582 740
605 955 265
619 14 967
782 250 543
328 861 531
144 803 460
231 661 42
718 781 426
220 562 79
71 716 615
563 423 928
19 811 442
363 495 122
368 966 896
214 429 914
525 157 458
834 630 103
671 876 998
216 138 490
266 659 94
189 352 870
169 811 705
483 292 153
669 724 159
420 133 12
56 610 216
722 318 900
453 480 923
544 956 35
150 714 74
767 174 210
307 1 224
17 927 341
580 87 522
662 99 44
964 257 641
866 464 464
204 956 880
590 458 755
804 850 78
354 198 416
110 900 518
553 975 548
948 355 802
210 864 614
451 380 965
729 415 812
335 242 610
489 573 817
425 211 574
997 54 408
565 363 722
529 913 558
255 781 674
195 851 800
81 926 396
804 977 83
723 336 606
830 648 901
557 890 907
270 501 939
608 171 576
461 45 303
853 410 176
168 702 759
309 970 676
384 592 517
431 846 509
350 632 967
710 199 239
630 747 202
763 168 408
818 340 582
315 550 919
889 236 990
163 833 442
101 419 656
197 63 271
764 570 558
921 292 47
629 339 32
877 154 965
405 581 697
996 527 504
167 290 622
401 706 563
110 639 720
814 213 76
694 252 27
516 241 353
355 304 25
467 118 892
230 1000 119
55 111 572
459 876 992
959 305 648
579 393 366
320 47 408
415 414 949
886 1 337
385 686 877
87 392 138
211 298 150
217 358 559
491 117 754
157 47 490
494 248 3
807 392 427
270 727 208
525 620 288
671 499 512
128 12 620
284 649 623
444 851 487
366 446 572
850 369 539
380 767 254
183 702 529
748 942 394
155 600 857
818 397 686
364 559 806
974 650 236
634 790 182
419 691 272
774 688 965
193 755 102
384 497 437
612 889 823
584 302 925
575 357 106
108 401 688
688 640 438
276 203 254
737 541 107
91 65 658
892 509 111
620 726 386
150 382 6
479 650 368
394 612 493
882 347 631
173 560 164
841 445 523
956 184 19
330 308 593
965 948 901
733 747 150
428 583 664
534 531 494
491 952 616
990 237 890
700 299 765
122 763 53
550 560 771
565 997 160
759 663 712
336 974 152
901 507 617
174 843 312
90 447 217
590 910 611
130 192 192
161 108 866
199 916 787
451 217 763
143 577 496
32 804 426
54 757 227
521 919 314
335 391 721
297 937 204
637 900 897
181 264 756
305 659 88
106 911 924
236 769 750
76 745 451
445 278 438
844 439 569
900 267 465
720 813 45
991 657 639
993 899 128
329 492 171
632 270 215
850 677 670
22 37 590
786 334 10
631 345 687
40 589 662
352 304 950
283 207 586
737 879 695
515 244 826
22 228 56
410 145 79
570 786 784
758 365 156
210 582 479
45 347 936
677 829 289
694 934 271
241 41 387
777 248 900
59 825 416
505 381 457
299 729 765
670 238 514
278 318 781
447 44 941
14 783 623
315 712 616
545 770 97
829 598 911
700 438 938
612 693 486
785 683 402
26 610 343
646 336 875
241 328 236
675 714 57
399 390 748
854 853 929
725 353 517
704 883 948
981 414 701
919 864 429
321 311 943
328 811 952
480 141 800
731 66 166
347 505 172
756 673 876
599 802 561
512 438 747
