17
1000 878
270 336 995
676 346 -700
801 952 -969
566 263 -624
855 272 118
245 285 813
157 396 -55
573 492 0
7 892 281
920 429 -677
282 602 421
278 717 307
583 715 697
226 579 -273
80 10 139
869 295 926
336 133 145
688 479 -99
635 52 942
770 540 408
715 975 -830
581 532 223
646 577 -122
855 559 413
899 708 -380
500 430 -835
69 919 594
859 562 -656
225 727 -36
828 384 117
892 952 31
582 208 -8
942 795 624
206 452 -486
568 206 -160
68 705 975
635 360 192
975 476 369
979 701 -527
459 540 392
429 417 -325
43 677 897
164 282 360
700 890 -645
921 612 -562
972 148 650
716 948 -874
606 227 626
823 923 725
702 923 678
461 937 -784
124 699 -470
991 381 456
262 103 549
827 467 812
866 534 966
86 679 836
594 570 344
138 115 534
201 24 931
373 593 553
650 638 -716
115 469 348
853 111 -262
379 279 521
601 120 632
387 600 369
999 631 782
586 671 548
646 803 315
956 644 -862
618 32 962
361 547 -383
705 113 -283
249 689 -73
322 143 -963
997 115 -440
354 361 36
498 619 388
70 546 41
912 552 291
856 619 -261
56 494 -27
355 264 327
647 746 -110
154 552 -97
467 153 734
274 688 40
396 947 -457
521 531 281
91 397 -293
887 865 -604
325 892 -642
241 713 -678
410 653 173
470 468 131
996 453 -717
468 900 -123
482 650 -244
495 522 106
994 705 981
87 388 874
816 296 -671
510 759 -904
371 724 744
980 782 675
438 429 -706
787 444 986
491 718 994
541 486 817
481 133 -227
25 575 -659
427 142 315
370 280 830
948 826 -241
460 64 404
721 218 357
443 716 311
25 189 -740
560 783 -999
943 349 -566
471 27 -383
739 48 75
464 474 795
880 820 -293
921 368 -107
37 511 -557
116 685 960
729 372 -983
304 563 839
682 39 -231
575 428 214
987 590 592
665 504 629
665 362 -317
122 146 778
177 222 410
352 296 -909
912 886 919
392 194 -470
958 714 865
96 299 -304
873 279 -762
456 148 -503
125 477 297
981 999 -254
19 15 784
429 470 -758
9 284 424
670 182 -64
495 973 -451
767 260 641
514 773 -292
770 331 -915
684 848 -757
288 860 108
247 202 -710
547 914 287
429 260 -786
125 66 181
204 341 523
718 842 701
300 261 585
368 472 -430
154 813 376
713 106 -1000
143 674 -879
215 172 -500
462 283 523
527 948 625
849 308 371
707 140 328
480 873 715
842 273 -97
348 478 -323
254 482 725
31 864 -469
25 358 -14
29 257 -672
751 387 615
183 826 -791
87 706 644
705 844 -448
914 703 -208
934 415 -658
175 581 815
937 440 -378
322 661 953
667 745 -850
728 221 916
482 834 893
848 605 864
241 680 -125
669 820 296
672 139 98
765 863 -479
132 745 -359
732 855 -432
565 34 -603
267 397 -836
502 262 438
231 89 714
221 963 -244
76 804 -709
506 223 379
666 178 -446
138 61 897
237 302 -538
677 191 156
988 944 -427
59 724 704
707 165 -839
942 630 -302
212 854 969
774 755 -107
328 794 509
578 574 -979
632 163 594
450 47 423
955 345 875
541 321 -255
547 472 -437
892 895 -509
761 839 -587
137 806 -236
701 476 599
571 676 -187
382 204 668
116 777 -726
469 225 824
701 187 -335
243 696 -952
385 122 366
584 598 656
296 766 1
155 390 -371
483 789 -583
125 985 164
261 354 -917
714 928 881
89 871 -975
295 95 -554
344 383 -260
636 538 80
205 740 -666
782 358 -542
239 940 -496
936 226 129
580 267 -139
105 831 -215
436 51 -839
614 476 450
500 229 213
703 87 -979
361 686 -787
468 710 905
200 811 449
26 840 322
430 280 -386
570 808 1
788 990 -827
386 56 -644
78 286 176
726 95 -819
670 841 481
559 117 -975
34 13 -82
520 131 -61
255 873 -275
116 317 -784
82 255 -348
820 171 -363
457 946 -599
925 132 -124
45 162 150
569 506 158
945 927 -408
711 91 327
914 732 760
979 975 394
837 294 -434
418 403 -183
393 980 906
307 542 765
226 848 519
286 466 763
678 321 480
47 215 -509
177 500 -967
870 50 171
861 139 -848
8 424 61
325 791 350
455 967 -63
35 775 -262
614 131 940
947 353 -12
110 13 -20
591 236 209
498 767 231
18 35 617
578 333 334
290 102 298
906 817 -604
855 25 -60
895 899 -705
568 880 -306
626 8 -280
235 236 -860
763 68 363
296 998 -149
134 342 606
665 99 830
928 255 -244
361 987 -807
98 465 385
616 717 -655
913 334 143
428 140 -707
191 616 -811
87 158 604
685 881 737
739 738 -882
105 649 -230
333 134 -6
604 233 -902
766 671 -721
947 97 -937
624 336 -564
756 592 -120
556 995 12
550 735 859
939 421 405
982 348 745
663 205 -738
599 369 11
458 608 535
59 550 -659
211 134 887
278 436 -615
83 550 477
162 299 -988
19 615 -603
501 454 -457
335 59 755
264 982 -756
222 973 -648
269 731 542
906 714 -881
340 642 839
457 695 -323
153 442 756
776 14 -98
114 454 -839
18 113 -477
796 288 816
741 714 -639
997 295 -817
484 286 528
418 905 -244
733 400 -632
932 710 862
854 868 -341
747 65 -837
204 245 280
360 70 434
333 71 -286
443 606 -747
966 82 637
652 534 -552
353 477 739
450 298 -317
674 195 219
810 586 -499
676 774 205
799 581 471
922 621 581
153 292 -804
36 124 933
392 715 -803
114 514 728
95 296 461
464 1000 -112
683 465 -544
72 188 678
292 431 -226
779 311 -124
619 929 503
145 884 633
144 912 482
33 660 2
775 552 717
686 1000 579
782 893 305
204 733 -48
144 510 -146
106 111 -358
322 190 -609
645 918 -825
416 10 -286
950 663 514
957 761 600
333 673 -999
31 456 982
354 382 -210
96 600 -884
101 397 900
553 344 -333
561 422 59
129 967 894
470 173 -402
953 285 -679
78 870 -207
853 453 470
344 709 586
835 700 -417
588 285 599
806 92 -917
274 192 626
807 214 -340
875 841 -622
900 621 410
686 616 249
342 416 -18
970 731 -750
920 243 273
232 537 839
911 980 239
473 243 57
911 976 48
581 747 -332
840 157 -640
410 620 986
963 431 -804
498 871 -224
411 460 -30
484 212 -798
302 666 624
913 948 496
762 170 634
829 243 -310
406 15 559
619 284 -650
279 577 -201
130 248 269
740 523 753
182 811 733
533 584 773
423 694 589
20 294 -364
608 86 -463
816 660 597
502 581 -328
54 701 -997
136 670 -343
82 328 -153
827 185 -494
928 845 -92
49 148 -871
154 302 -37
723 370 17
62 793 332
171 629 22
171 441 -789
19 796 69
838 760 -638
607 139 -953
584 402 432
272 142 -547
542 867 637
414 968 156
643 373 -207
729 328 196
556 202 -364
663 31 -482
563 443 991
293 548 230
714 833 -675
989 217 -852
415 20 656
856 77 -647
235 479 201
396 731 247
29 479 -520
896 743 -125
477 142 -284
742 177 -680
409 791 65
989 3 -149
939 762 -875
110 970 -597
380 708 -677
893 755 -207
872 945 463
5 304 763
45 714 228
317 769 282
132 56 -738
391 981 875
430 310 -165
959 709 -944
567 881 -97
927 8 -359
808 939 -648
913 807 -623
268 925 897
524 784 950
849 250 404
470 442 397
247 994 592
953 798 -368
167 777 -656
825 365 247
426 183 -289
954 17 959
904 278 -395
786 547 146
100 132 -637
469 940 342
258 764 -229
345 317 229
882 373 684
461 42 9
151 252 106
282 603 -468
555 13 660
214 216 591
971 889 -996
741 275 -982
327 512 828
867 511 58
369 431 561
281 168 -487
860 493 -154
357 808 327
374 985 -375
435 497 -483
729 865 883
721 906 268
456 285 614
309 948 870
528 196 -28
900 855 476
389 319 -46
978 932 -747
170 726 -594
905 771 16
624 860 78
513 386 993
473 229 752
192 966 -942
443 312 -226
693 611 -250
12 254 -99
358 644 69
551 60 774
484 428 963
61 2 384
278 692 -610
206 485 572
747 71 -823
822 445 905
21 549 505
966 110 648
154 932 -760
64 417 -762
711 27 768
109 447 44
170 589 144
853 556 -725
947 764 808
605 388 -521
787 92 62
454 868 164
7 11 -675
545 652 -179
111 387 83
581 3 -706
189 59 -376
164 175 -328
493 285 65
594 234 260
667 279 -781
943 626 -301
293 269 362
186 232 -185
793 301 620
551 903 365
75 588 -348
716 267 -782
984 430 -351
910 72 522
957 385 983
408 79 609
219 264 -468
99 803 -404
15 95 -206
769 361 212
556 922 629
340 897 551
802 434 961
483 141 533
73 163 -926
488 807 -526
463 492 -493
554 808 -877
784 927 -710
92 435 38
438 167 199
896 511 -17
590 671 335
867 105 -979
880 333 508
665 658 -849
859 192 236
925 507 -312
348 571 851
312 586 -491
460 873 670
658 110 -306
185 132 841
628 505 225
885 535 420
615 289 -382
786 234 799
792 618 51
669 253 -683
529 137 -118
637 27 591
546 892 -201
284 181 -827
517 531 833
