9383 27072
3397 3235 -323
8953 57 -840
8273 2305 676
5136 5254 -257
3281 4462 -381
3440 2516 224
1451 924 -822
1397 3169 932
887 5919 -1
1781 1604 207
1394 512 -38
3730 2314 926
7011 2572 615
2716 2484 -809
8737 7573 -268
179 8584 295
7221 4602 -933
4768 1177 66
3640 3740 -893
5059 1526 -298
1426 3770 311
2667 4528 726
244 2625 -921
1066 1410 524
4541 6423 818
6861 9375 830
3449 464 651
8738 2964 369
7392 5440 444
2357 239 308
1752 5329 -454
7332 3808 -680
1813 3237 -637
4430 280 -288
5714 6014 540
668 833 -700
2217 844 307
2075 1389 -47
8162 3157 863
3642 6418 -561
745 1680 -687
2964 1238 -993
7659 3557 -680
6171 3066 -824
1065 5908 998
8385 3569 819
3183 257 -934
5317 7794 419
4225 6985 734
2208 5593 6
7999 5262 -785
1359 2387 962
5102 8130 345
1989 8347 288
652 7045 954
8224 323 77
5291 638 938
2891 6113 966
6563 447 -251
4503 1148 -277
6682 7806 64
6188 4776 249
3704 686 -907
4402 3026 288
5639 4293 277
4841 6984 989
8642 3876 -342
986 3303 -51
4176 3480 -482
3914 1383 -344
8680 4568 897
1628 6320 -971
9206 1491 15
438 6986 -541
169 4326 -802
8917 2719 118
4892 9153 661
1306 8652 -279
5222 7952 413
3650 7932 -931
2575 4797 -450
3689 5776 -706
7939 7847 773
4962 7323 -425
953 4110 118
4040 2103 -946
5758 362 -166
5596 1252 -78
5209 301 -993
6109 2926 224
6677 6229 -666
5094 2068 -989
222 1795 895
6054 4433 -806
4780 5259 -258
2762 7557 -211
4306 432 -384
7130 8747 -553
2838 5425 743
1320 3102 153
7846 5698 -395
1723 8463 -581
1081 7548 -344
3901 5650 110
602 4648 -157
1614 8619 163
7172 2925 422
2943 3948 -115
8606 8598 288
2126 8778 -121
6600 9182 638
8917 1149 -557
5187 8024 -663
5084 3518 -525
6437 8405 -698
8071 6980 -282
2579 4288 -427
7424 3199 -939
2248 5186 430
2871 2253 808
8436 7312 -426
3784 5655 428
7863 6849 -188
7546 6601 990
497 3610 -797
5799 1002 -321
5413 9243 668
1428 3267 936
5584 8622 895
7154 9157 60
7553 3988 -587
5119 1842 961
2160 5670 -404
4896 3131 -502
2507 6100 442
7816 4064 961
3794 2707 60
5280 5189 754
6420 7657 -72
4993 6459 908
7893 5761 319
3618 3721 -753
5995 1536 918
8622 129 -217
1171 8771 -879
2900 7931 544
9381 2870 -388
2677 8654 -89
2409 7409 239
1101 365 -492
9138 8245 -551
4553 3640 715
7794 8706 -762
6930 1771 974
3349 52 97
698 6251 -83
8786 4677 39
983 3939 -131
8573 4159 -472
2507 3643 -638
5167 3715 20
1197 7084 -563
5584 2490 -621
7735 2946 -277
4598 5464 -902
189 833 411
9276 1953 -184
3120 4552 947
321 4348 -245
7371 7135 21
1261 4281 397
2263 9268 -466
5246 8163 253
7228 3468 -659
3191 561 82
6370 9357 405
733 9207 -291
3172 1393 637
2760 7621 -649
8649 1555 470
1317 9078 32
56 940 46
2977 7271 87
6396 3559 702
1616 3571 -70
7795 2771 82
4619 7620 356
4184 4187 257
8269 8368 -370
8862 298 945
2380 5686 921
1578 7045 296
6552 5307 402
7149 6482 -988
6340 7009 596
8526 5195 774
8260 1136 -734
495 8236 -971
2494 3819 -148
296 1582 432
1324 3150 533
5848 4894 -903
8201 5748 166
7382 692 -200
192 3243 -893
